no,exact_match,word_accuracy,input_sentence,target_sentence,llm_output,processing_time
1,True,1.0,Tiap orang punya bend berharga.,Tiap orang punya benda berharga.,Tiap orang punya benda berharga.,6.623973608016968
2,False,0.0,Bisa juga berpa benda-benda.,Bisa juga berupa benda-benda.,"Benda-benda. (Corrected) 

(I removed ""berpa"" and added a hyphen between ""benda"" and ""benda"")",0.49221253395080566
3,True,1.0,Dokumen harus dijaga an dirawat.,Dokumen harus dijaga dan dirawat.,Dokumen harus dijaga dan dirawat.,0.19884324073791504
4,True,1.0,Benda berharga juga haru dipelihara.,Benda berharga juga harus dipelihara.,Benda berharga juga harus dipelihara.,0.20325493812561035
5,True,1.0,"Jika dirawat, dokumen dan benda berharga tidk mudah rusak.","Jika dirawat, dokumen dan benda berharga tidak mudah rusak.","Jika dirawat, dokumen dan benda berharga tidak mudah rusak.",0.3118579387664795
6,False,0.2727272727272727,"Guru membimbing anak untuk mengetahui pentingnya mmelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.","Guru membimbing anak untuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.","Guru membimbing anak untuk mengetahui pentingnya menjaga atau melestarikan dokumen dan koleksi benda berharga di rumah dan keluarga, sehingga anak bisa menghargaiinya.",0.7152097225189209
7,False,0.625,Guru juga mengenalkan dan menunjukkan contoh bena koleksi.,Guru juga mengenalkan dan menunjukkan contoh benda koleksi.,Guru juga mengenalkan dan menunjukkan contoh-conto koleksi.,0.29732370376586914
8,False,0.9090909090909091,Suatu hari fadilah melihat ibu menyusun dokmen penting dalam map plastik.,Suatu hari fadilah melihat ibu menyusun dokumen penting dalam map plastik.,Suatu hari Fadillah melihat ibu menyusun dokumen penting dalam map plastik.,0.38608431816101074
9,False,0.8333333333333334,"Ada akta kelahiran, kartu keluarga, surat tnah, ijazah, dan surat dari eyang.","Ada akta kelahiran, kartu keluarga, surat tanah, ijazah, dan surat dari eyang.","Ada akta kelahiran, kartu keluarga, surat keterangan, ijazah, dan surat dari ayah.",0.45603132247924805
10,False,0.8571428571428571,Di amplop surat itu masih tertempel perngkonya.,Di amplop surat itu masih tertempel perangkonya.,Di amplop surat itu masih tertempel pangkornya.,0.25693345069885254
11,True,1.0,Ibu juga menyusun foo-foto dalam album.,Ibu juga menyusun foto-foto dalam album.,Ibu juga menyusun foto-foto dalam album.,0.23122572898864746
12,False,0.8333333333333334,Di ruang tamu fadilah melihat ayah memersihkan dan membereskan piala di lemari.,Di ruang tamu fadilah melihat ayah membersihkan dan membereskan piala di lemari.,Di ruang tamu fadhalah melihat ayah membersihkan dan membiasakan piala di lemari.,0.42464518547058105
13,True,1.0,Ayah membersihkan piaa itu.,Ayah membersihkan piala itu.,Ayah membersihkan piala itu.,0.18908905982971191
14,True,1.0,"Kata ayah dan ibu, dokumen dan bena berharga harus dirawat dengan baik.","Kata ayah dan ibu, dokumen dan benda berharga harus dirawat dengan baik.","Kata ayah dan ibu, dokumen dan benda berharga harus dirawat dengan baik.",0.3521687984466553
15,True,1.0,Supaya tidak mudah rusak dan dapat dignakan kembali.,Supaya tidak mudah rusak dan dapat digunakan kembali.,Supaya tidak mudah rusak dan dapat digunakan kembali.,0.25942015647888184
16,False,0.6,Apakah kamu mempunyai kta kelahiran?,Apakah kamu mempunyai akta kelahiran?,Apakah kamu memiliki kartu kelahiran?,0.18793678283691406
17,True,1.0,Semua orang harus memiiki akta kelahiran.,Semua orang harus memiliki akta kelahiran.,Semua orang harus memiliki akta kelahiran.,0.20016908645629883
18,True,1.0,Akta kelahiran tidak bole hilang.,Akta kelahiran tidak boleh hilang.,Akta kelahiran tidak boleh hilang.,0.2008953094482422
19,False,0.8333333333333334,Akta kelahiran harus dijaa dan dipelihara.,Akta kelahiran harus dijaga dan dipelihara.,Akta kelahiran harus disimpan dan dipelihara.,0.2642664909362793
20,False,0.8,Supaya tidak rusak tau hilang.,Supaya tidak rusak atau hilang.,Supaya tidak rusak ata hilang.,0.17438554763793945
21,False,0.5,Akta kelahiran bis dilaminating.,Akta kelahiran bisa dilaminating.,Akta kelahiran biasa dilakukan.,0.18628382682800293
22,True,1.0,Bisa juga dimasukkan dalam map yang berih.,Bisa juga dimasukkan dalam map yang bersih.,Bisa juga dimasukkan dalam map yang bersih.,0.2122666835784912
23,True,1.0,Lihatlah gambar ni!,Lihatlah gambar ini!,Lihatlah gambar ini!,0.14583730697631836
24,True,1.0,Gambar di atas merupakan sebagian contoh dokmen.,Gambar di atas merupakan sebagian contoh dokumen.,Gambar di atas merupakan sebagian contoh dokumen.,0.2315526008605957
25,False,0.2857142857142857,"Kartu keluarga, ktp, dan sim biasanya dilminating supaya tidak rusak.","Kartu keluarga, ktp, dan sim biasanya dilaminating supaya tidak rusak.","Kartu keluarga, KTP, dan SIM biasanya dikumpulkan atau disimpan dengan baik supaya tidak rusak.",0.44008469581604004
26,False,0.75,Laminating adalah penepresan dokumen.,Laminating adalah pengepresan dokumen.,Laminating adalah pengemasan dokumen.,0.1836254596710205
27,False,0.5555555555555556,Dokumen dilapisi plastik khusus dan kemudian dipnaskan dengan mesin sampai merekat.,Dokumen dilapisi plastik khusus dan kemudian dipanaskan dengan mesin sampai merekat.,"Dokumen dilapisi plastik khusus dan kemudian ditempa/dipanaskan dengan mesin sampai merekat.

(Dipanaskan is the correct spelling, not ""dipnaskan"")",0.6925559043884277
28,False,0.8,Ktp dan sim adalah identitas diri yan harus selalu dibawa.,Ktp dan sim adalah identitas diri yang harus selalu dibawa.,KTP dan SIM adalah identitas diri yang harus selalu dibawa.,0.2721717357635498
29,True,1.0,Koleksi benda berharga dirawat dengan cara dibrsihkan dari debu dan kotoran.,Koleksi benda berharga dirawat dengan cara dibersihkan dari debu dan kotoran.,Koleksi benda berharga dirawat dengan cara dibersihkan dari debu dan kotoran.,0.37700939178466797
30,False,0.8333333333333334,Tempat untuk menyimpannya un jangan sembarangan.,Tempat untuk menyimpannya pun jangan sembarangan.,Tempat untuk menyimpannya di jangan sembarangan.,0.22755217552185059
31,True,1.0,Supaya tidak kusam dan tidak mudah rusk.,Supaya tidak kusam dan tidak mudah rusak.,Supaya tidak kusam dan tidak mudah rusak.,0.21828866004943848
32,False,0.9375,"Contoh benda koleksi adalah piala, medali, uan kuno, buku, perangko lama, lukisan, dan masih banyak lagi.","Contoh benda koleksi adalah piala, medali, uang kuno, buku, perangko lama, lukisan, dan masih banyak lagi.","Contoh benda koleksi adalah piala, medali, ukuran kuno, buku, perangko lama, lukisan, dan masih banyak lagi.",0.5528035163879395
33,True,1.0,Jika terawat dengan baik harganya jadi mhal.,Jika terawat dengan baik harganya jadi mahal.,Jika terawat dengan baik harganya jadi mahal.,0.26705336570739746
34,False,0.875,"Jika tidk terawat, kelihatan jelek dan tidak laku.","Jika tidak terawat, kelihatan jelek dan tidak laku.","Jika tidak terawat, kelihatannya jelek dan tidak laku.",0.29950809478759766
35,False,0.6666666666666666,Sebutkan macam-macam dokmen!,Sebutkan macam-macam dokumen!,Sebutkan macam-macam dokumen.,0.1861739158630371
36,False,0.8571428571428571,Apa yang terjadi jika dokumen tidak dirwat?,Apa yang terjadi jika dokumen tidak dirawat?,Apa yang terjadi jika dokumen tidak diverifikasi?,0.21947646141052246
37,False,0.15384615384615385,Bagaimana supaya ktp dan sim menjadi awe?,Bagaimana supaya ktp dan sim menjadi awet?,Bagaimana supaya kartu tanda penduduk (KTP) dan surat izin mengemudi (SIM) menjadi afkir?,0.46329522132873535
38,False,0.8333333333333334,Apa sajakah benda ang layak dikoleksi?,Apa sajakah benda yang layak dikoleksi?,Apa saja benda yang layak dikoleksi?,0.2181227207183838
39,True,1.0,Bagaimana cara merawat bend koleksi?,Bagaimana cara merawat benda koleksi?,Bagaimana cara merawat benda koleksi?,0.2187027931213379
40,False,0.8823529411764706,Jodohkanlah dengan cara menarik garis lurus ntara dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,Jodohkanlah dengan cara menarik garis lurus antara dokumen di sebelah kiri dengan cara perawatannya di sebelah kanan!,Jodohkanlah dengan cara menarik garis lurus antara dokumen di sebelah kiri dengan cara perawatan-nya di sebelah kanan.,0.5716166496276855
41,False,0.8,Cermatilah gambar di bawa ini!,Cermatilah gambar di bawah ini!,Cermatilah gambar di atas ini!,0.20540213584899902
42,False,0.9230769230769231,"Berilah tanda v pada kolom ya, bukn, atau tidak tahu sesuai dengan pendapatmu.","Berilah tanda v pada kolom ya, bukan, atau tidak tahu sesuai dengan pendapatmu.","Berilah tanda V pada kolom ya, bukan, atau tidak tahu sesuai dengan pendapatmu.",0.40253329277038574
43,True,1.0,Hasilnya kumpulkan kepda gurumu!,Hasilnya kumpulkan kepada gurumu!,Hasilnya kumpulkan kepada gurumu!,0.2012019157409668
44,True,1.0,Guru mengajarkan anak cara menyimpan dan merwat dokumen serta koleksi benda berharga pribadi serta keluarganya.,Guru mengajarkan anak cara menyimpan dan merawat dokumen serta koleksi benda berharga pribadi serta keluarganya.,Guru mengajarkan anak cara menyimpan dan merawat dokumen serta koleksi benda berharga pribadi serta keluarganya.,0.5010600090026855
45,False,0.6666666666666666,Suatu hari mahdi mengajak muti menyusun perngko dalam album.,Suatu hari mahdi mengajak muti menyusun perangko dalam album.,Suatu hari Mahdi mengajak Muti menyusun pernerangkam dalam album.,0.34856128692626953
46,False,0.75,Muti adalah adi mahdi.,Muti adalah adik mahdi.,Muti adalah asli mahdi.,0.15844011306762695
47,True,1.0,Mahdi sangat sayang kepaa muti.,Mahdi sangat sayang kepada muti.,Mahdi sangat sayang kepada muti.,0.17325448989868164
48,True,1.0,"Bersihkan dokumen dan benda koleksi dari ktoran, terutama debu.","Bersihkan dokumen dan benda koleksi dari kotoran, terutama debu.","Bersihkan dokumen dan benda koleksi dari kotoran, terutama debu.",0.362199068069458
49,True,1.0,Simpan dokumen dan benda koleksi di temat yang kering.,Simpan dokumen dan benda koleksi di tempat yang kering.,Simpan dokumen dan benda koleksi di tempat yang kering.,0.2697117328643799
50,False,0.8333333333333334,Jangan lupa bersihkan ulu tempat itu.,Jangan lupa bersihkan dulu tempat itu.,Jangan lupa bersihkan ulang tempat itu.,0.23794078826904297
51,False,0.875,Diberi kapur barus supaya tidak ada bintang pengganggu.,Diberi kapur barus supaya tidak ada binatang pengganggu.,Diberi kapur barus supaya tidak ada bintang pengganggu.,0.2971198558807373
52,True,1.0,Disimpan dengan rapi an menarik.,Disimpan dengan rapi dan menarik.,Disimpan dengan rapi dan menarik.,0.18970942497253418
53,False,0.2222222222222222,Dokumen yang ada di map plastik sekli-sekali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,Dokumen yang ada di map plastik sekali-sekali harus dikeluarkan dulu atau ditukar tempat supaya tidak melekat.,Dokumen yang ada di dalam map plastik sekelompok-sekelompok harus dikeluarkan terlebih dahulu atau ditukar tempat supaya tidak melekat.,0.6119840145111084
54,True,1.0,Jawablah pertanyaan-pertanyaan di bawa ini!,Jawablah pertanyaan-pertanyaan di bawah ini!,Jawablah pertanyaan-pertanyaan di bawah ini!,0.26929593086242676
55,False,0.0,Apa yang dilakukan mahd dan muti?,Apa yang dilakukan mahdi dan muti?,Mahad,0.07441353797912598
56,False,0.6666666666666666,Apa akibatnya jika peragko tidak disusun?,Apa akibatnya jika perangko tidak disusun?,Apakah akibatnya jika peragaan tidak disusun?,0.26341772079467773
