no,exact_match,word_accuracy,input_sentence,target_sentence,llm_output,processing_time
1,True,1.0,Tiap orang punya beand berharga.,Tiap orang punya benda berharga.,Tiap orang punya benda berharga.,0.18812012672424316
2,False,0.0,Bisa juga berpua benda-benda.,Bisa juga berupa benda-benda.,Benda-benda bisa juga berpuas.,0.17547011375427246
3,False,0.8,Edokumn harus dijaga dan dirawat.,Dokumen harus dijaga dan dirawat.,Edokumen harus dijaga dan dirawat.,0.18674468994140625
4,True,1.0,Benda berharga juga hasru dipelihara.,Benda berharga juga harus dipelihara.,Benda berharga juga harus dipelihara.,0.19106626510620117
5,True,1.0,"Jika dirawat, dokumen dan benda berharga atidk mudah rusak.","Jika dirawat, dokumen dan benda berharga tidak mudah rusak.","Jika dirawat, dokumen dan benda berharga tidak mudah rusak.",0.29747891426086426
6,False,0.8947368421052632,"Guru membimbing anak untuk mengetahui pentingnya mmelihaera dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.","Guru membimbing anak untuk mengetahui pentingnya memelihara dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargainya.","Guru membimbing anak untuk mengetahui pentingnya menejaha dokumen dan koleksi benda berharga diri dan keluarga, sehingga anak bisa menghargaiinya.",0.676795482635498
7,True,1.0,Guru juga mengenalkan dan menunjukkan contoh dbena koleksi.,Guru juga mengenalkan dan menunjukkan contoh benda koleksi.,Guru juga mengenalkan dan menunjukkan contoh benda koleksi.,0.302081823348999
8,False,0.9090909090909091,Suatu hari fadilah melihat ibu menyusun dokmuen penting dalam map plastik.,Suatu hari fadilah melihat ibu menyusun dokumen penting dalam map plastik.,Suatu hari Fadillah melihat ibu menyusun dokumen penting dalam map plastik.,0.37554407119750977
9,False,0.8333333333333334,"Ada akta kelahiran, kartu keluarga, surat atnah, ijazah, dan surat dari eyang.","Ada akta kelahiran, kartu keluarga, surat tanah, ijazah, dan surat dari eyang.","Ada akta kelahiran, kartu keluarga, surat keterangan, ijazah, dan surat dari kakek.",0.47846078872680664
10,False,0.8571428571428571,Di amplop surat itu masih tertempel perngkoanya.,Di amplop surat itu masih tertempel perangkonya.,Di amplop surat itu masih tertempel stempelnya.,0.25952601432800293
11,True,1.0,Ibu juga menyusun foo-tfoto dalam album.,Ibu juga menyusun foto-foto dalam album.,Ibu juga menyusun foto-foto dalam album.,0.21427178382873535
